"RANK","NATION","CO2_total"
"156","LAO PEOPLE S DEMOCRATIC REPUBLIC","533"
"157","REPUBLIC OF SOUTH SUDAN","408"
"158","MALI","385"
"159","MALDIVES","364"
"160","SIERRA LEONE","357"
"161","MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA","350"
"162","MALAWI","348"
"163","BARBADOS","347"
"164","SWAZILAND","328"
"165","FIJI","319"
"166","BHUTAN","273"
"167","LIBERIA","255"
"168","ARUBA","238"
"169","RWANDA","229"
"170","FRENCH POLYNESIA","219"
"171","SAINT MARTIN (DUTCH PORTION)","200"
"172","FRENCH GUIANA","200"
"173","CHAD","199"
"174","DJIBOUTI","197"
"175","ERITREA","190"
"176","SOMALIA","166"
"177","FAEROE ISLANDS","163"
"178","BERMUDA","157"
"179","CAYMAN ISLANDS","148"
"180","ANTIGUA & BARBUDA","145"
"181","GIBRALTAR","144"
"182","GAMBIA","140"
"183","GREENLAND","138"
"184","BELIZE","135"
"185","SEYCHELLES","135"
"186","CAPE VERDE","134"
"187","TIMOR-LESTE (FORMERLY EAST TIMOR)","128"
"188","ANDORRA","126"
"189","BURUNDI","120"
"190","SAINT LUCIA","111"
"191","BONAIRE, SAINT EUSTATIUS, AND SABA","88"
"192","CENTRAL AFRICAN REPUBLIC","82"
"193","GUINEA BISSAU","74"
"194","PALAU","71"
"195","GRENADA","66"
"196","ST. KITTS-NEVIS","63"
"197","ST. VINCENT & THE GRENADINES","57"
"198","TURKS AND CAICOS ISLANDS","56"
"199","SOLOMON ISLANDS","55"
"200","SAMOA","54"
"201","BRITISH VIRGIN ISLANDS","49"
"202","COMOROS","42"
"203","VANUATU","42"
"204","FEDERATED STATES OF MICRONESIA","41"
"205","ANGUILLA","39"
"206","DOMINICA","37"
"207","TONGA","33"
"208","SAO TOME & PRINCIPE","31"
"209","MARSHALL ISLANDS","28"
"210","ST. PIERRE & MIQUELON","21"
"211","COOK ISLANDS","19"
"212","KIRIBATI","17"
"213","FALKLAND ISLANDS (MALVINAS)","15"
"214","MONTSERRAT","13"
"215","NAURU","13"
"216","LIECHTENSTEIN","12"
"217","WALLIS AND FUTUNA ISLANDS","6"
"218","SAINT HELENA","3"
"219","NIUE","3"
"220","TUVALU","3"
